id,subject,body,expected_category,predicted_category,classifier_reason,exact_match
spam_93,LinkedIn Connection Request,"Recruiter wants to connect: ""Hiring for $200k remote jobs"". Respond: linkedin-fake.jobs/connect/rec883.",spam,spam,"This is a suspicious unsolicited message using a fake LinkedIn-themed connection request and deceptive job lure, which is characteristic of phishing or spam.",True
updates_747,Software update available (v5.0),We've updated our Privacy Policy. Review changes: banking.com/statements Effective Sep 1.,updates,spam,"The message uses a vague software update subject but contains a suspicious banking/privacy-policy link mismatch, which is characteristic of phishing or junk email.",False
spam_87,Crypto Investment Opportunity,Double your Bitcoin in 48hrs! Limited slots open: btc-double-now.crypto Risk-free guarantee.,spam,spam,The email is an unsolicited high-risk investment pitch promising unrealistic returns and using scam-like language typical of junk or fraudulent messages.,True
forum_392,Warning: Violation in Python Coding Challenge,"You earned ""Achievement 1"" badge. View profile: forum.com/thread/123.",forum,forum,"The email references a badge and profile/thread activity on a forum-style site, indicating a discussion board or online group notification.",True
social_media_1485,Watch later: Recommended photo,"""You were at Grand Canyon with Alex"" - view album: social.com/albums/vacation2018.",social_media,social_media,This is a social-style notification about a shared/recommended photo album related to a person and past activity.,True
social_media_1079,Watch later: Recommended photo,story from Tokyo received 678 likes and 67 comments. See insights: platform.com/analytics/content.,social_media,social_media,"This is a notification about engagement on a posted photo, including likes, comments, and analytics, which is typical of a social media platform update.",True
verify_code_191,Media Embargo Release: 398012,Press release authorization code: 398012. Confirms scheduled publication at 9AM ET. Breaking embargo incurs maximum contractual penalty. Multimedia assets distributed upon entry.,verify_code,verify_code,"The email centers on a single authorization code used to confirm a scheduled action, which fits a one-time verification-style message.",True
spam_1340,Your Netflix was used on new device,"Immediate action required! Your subscription payment failed. Update payment: bit.ly/fakeprize Or call ""support"": 1-800-FAKE.",spam,spam,"The email uses urgent scare tactics and a suspicious shortened link with fake support contact details, indicating a phishing or scam message.",True
spam_1930,IRS Tax Refund Approval #RP-3344,Invoice INV-6789 for $1000 ready. View: bit.ly/fakeprize Dispute within 24hrshrs.,spam,spam,"The email uses a fake IRS/tax refund claim, a suspicious shortened link, and urgent language, which are common signs of phishing or scam spam.",True
social_media_823,Watch later: Recommended story,"""College reunion photos"" - view album: platform.com/memories/beach.",social_media,social_media,"The email recommends viewing a shared photo album, which is typical of a social platform content notification.",True
promotions_1625,FLASH SALE: 80% off tools,Deal ends {time}! {items} at lowest prices. Shop now: example.com/7302 Use code: FLASH60.,promotions,promotions,"This email advertises a flash sale with discounts, a promo code, and a shopping link, which is characteristic of marketing promotions.",True
verify_code_1516,Temporary security pass: 986632,"Use 884383 as your verification code. Device: Samsung Galaxy S22. Location: Seattle, WA.",verify_code,verify_code,The email contains a one-time verification code and device/location details for a security login confirmation.,True
forum_360,New featured guide: gaming,"You earned ""Achievement 3"" badge. View profile: forum.com/thread/123.",forum,forum,"The message references a badge earned and a profile/thread link on forum.com, indicating a forum or online community notification.",True
