id,subject,body,text,category,category_id,accepted,reason
forum_1578,[ANSWERED] Your query in Career Advice,"Thread: ""Discussion 627"" started by WebDev2024. Settings: wiki.site/page/789.","[ANSWERED] Your query in Career Advice Thread: ""Discussion 627"" started by WebDev2024. Settings: wiki.site/page/789.",forum,0,true,"This email is a notification about activity in a discussion thread (“Discussion 627”) within a Career Advice forum, indicating it’s part of an online community conversation. Because it references a thread, a user, and forum-style settings, the forum category is correct."
updates_1048,Membership upgrade: processing achieved!,Items cancelled via DHL (tracking: 9876543210). Estimated delivery: Aug 15. Track: banking.com/statements.,Membership upgrade: processing achieved! Items cancelled via DHL (tracking: 9876543210). Estimated delivery: Aug 15. Track: banking.com/statements.,updates,4,true,"This email provides a status update about a membership-related process and shipment details, including cancellation, tracking, and estimated delivery. It does not request action or advertise anything, so “updates” is the correct category."
updates_483,"Your appointment confirmed: Sep 1, 1-3AM EST",We've updated our Terms of Service. Review changes: company.com/updates Effective Nov 12.,"Your appointment confirmed: Sep 1, 1-3AM EST We've updated our Terms of Service. Review changes: company.com/updates Effective Nov 12.",verify_code,5,false,This email is not a verification code message because it contains no one-time code or login/authentication request. It should be classified as updates since it notifies the recipient about a Terms of Service change and provides a link to review the updates.
promotions_902,New arrivals: Fall fashion live,"Hello valued member, enjoy Free shipping all week. Shop now: example.com/5988 Expires {date}.","New arrivals: Fall fashion live Hello valued member, enjoy Free shipping all week. Shop now: example.com/5988 Expires {date}.",forum,0,false,"This email is a marketing promotion advertising new fall fashion arrivals, free shipping, and a shop-now link, which are clear promotional sales cues. It should be classified as promotions, not forum, because it is not part of a group discussion or community thread."
updates_830,Software update available (v3.1),Our service will be unavailable during this window. Updates include bug fixes and new features.,Software update available (v3.1) Our service will be unavailable during this window. Updates include bug fixes and new features.,verify_code,5,false,This email is not about a verification code or authentication; it announces a software update and scheduled service downtime. The correct classification is updates.
spam_2203,Delivery Problem EF-789,Your package couldn't be delivered. Tracking# EF-789. Update now: scam-delivery.com Do not ignore!,Delivery Problem EF-789 Your package couldn't be delivered. Tracking# EF-789. Update now: scam-delivery.com Do not ignore!,promotions,1,false,This email is not a promotion; it is a deceptive delivery-alert message using urgency and a generic link to trick the recipient into clicking. The correct classification is spam.
social_media_1512,New friend request from Mike Chen,"See which photo: platform.com/content/video456 Comments: ""So inspiring!"" Disable notifications: platform.com/notifications.","New friend request from Mike Chen See which photo: platform.com/content/video456 Comments: ""So inspiring!"" Disable notifications: platform.com/notifications.",social_media,2,true,This email is a social media notification because it alerts the user to a new friend request and includes engagement-related content like comments and notification settings. Those are typical features of messages from social networking platforms.
updates_1835,Safety recall: Model AB-500,"Car Rental Main pool closed Aug 20-22 for maintenance, Oct 5, 3-5AM GMT. {assignment} confirmed. Manage booking: company.com/updates.","Safety recall: Model AB-500 Car Rental Main pool closed Aug 20-22 for maintenance, Oct 5, 3-5AM GMT. {assignment} confirmed. Manage booking: company.com/updates.",updates,4,true,"The email provides informational notices about maintenance and a confirmed assignment/booking, with a link to manage the booking. It does not request a reply or action beyond optional account management, so it fits the updates category."
social_media_64,Social Audio Transcription Archive,Convert voice rooms to searchable texts. Join: audio-linguistics-project.org Privacy first.,Social Audio Transcription Archive Convert voice rooms to searchable texts. Join: audio-linguistics-project.org Privacy first.,social_media,2,true,"The email promotes a feature for voice rooms and social audio content, which fits the social media category. It focuses on converting social audio interactions into searchable text rather than offering a general business or transactional service."
verify_code_1144,Apple Authenticator: 202896,Security code: 416060. Enter on sign-in page. Expires in 15 minutes. Not you? Contact support: security@company.com.,Apple Authenticator: 202896 Security code: 416060. Enter on sign-in page. Expires in 15 minutes. Not you? Contact support: security@company.com.,verify_code,5,true,"This email contains a one-time security code for login verification and includes an expiration window, which is characteristic of a verify_code message. It is not a general notification or marketing email, but a direct authentication step for signing in."
promotions_2131,"Refer friends, get $25 credit",Deal ends {time}! {items} at lowest prices. Shop now: example.com/1574 Use code: VIP25.,"Refer friends, get $25 credit Deal ends {time}! {items} at lowest prices. Shop now: example.com/1574 Use code: VIP25.",promotions,1,true,"This email is promotional because it advertises a limited-time deal, highlights discounted prices, and includes a coupon code to encourage shopping. The “refer friends, get $25 credit” subject line and “Shop now” call to action are clear marketing content."
updates_646,Safety recall: Model AB-500,Your monthly statement is available. View/download: service.com/status No action needed if payment scheduled.,Safety recall: Model AB-500 Your monthly statement is available. View/download: service.com/status No action needed if payment scheduled.,spam,3,false,"This should be classified as updates, not spam, because it’s a routine account/service notification about a monthly statement being available. The message provides informational status details and does not contain the hallmarks of unsolicited promotional or deceptive spam."
forum_167,Wiki Edit Conflict: Quantum Computing Basics,Your edit conflicts with newer version by user @Physicist. Compare changes: sciforum.com/wiki/quantum-computing/compare. Edit lock activated for 24 hours. Resolution suggestions provided by moderators.,Wiki Edit Conflict: Quantum Computing Basics Your edit conflicts with newer version by user @Physicist. Compare changes: sciforum.com/wiki/quantum-computing/compare. Edit lock activated for 24 hours. Resolution suggestions provided by moderators.,spam,3,false,"This is not spam because it’s a legitimate automated notification about a wiki edit conflict, including moderation and collaboration details. The correct classification is forum, since it relates to user-generated discussion and content management on a community platform."
forum_2238,Warning: Violation in Python Coding Challenge,Database upgrade completed successfully. New features: new search and notifications. FAQ: forum.com/thread/123.,Warning: Violation in Python Coding Challenge Database upgrade completed successfully. New features: new search and notifications. FAQ: forum.com/thread/123.,forum,0,true,"The email reads like a community or discussion-thread update, especially with the FAQ/thread link and announcement-style content about new features. It does not involve a direct personal, transactional, or promotional message, so classifying it as forum is appropriate."
social_media_1117,News: Lisa Rodriguez started new position,"Group ""Tech Enthusiasts"" invited you. RSVP: social.com/events/meetup.","News: Lisa Rodriguez started new position Group ""Tech Enthusiasts"" invited you. RSVP: social.com/events/meetup.",promotions,1,false,"This email is about activity and invitations within a social/group platform (“Tech Enthusiasts” invited you and a profile update about Lisa Rodriguez), which makes it a social_media message. It is not promotions because it does not advertise or market a product, service, or sale."
spam_742,Your invoice is available,See who messaged you on Microsoft! View now: bit.ly/fakeprize Special offer: 90% off membership.,Your invoice is available See who messaged you on Microsoft! View now: bit.ly/fakeprize Special offer: 90% off membership.,social_media,2,false,"This should be classified as spam, not social_media, because it contains promotional/scam-like content (“Special offer: 90% off membership”) and a suspicious shortened link unrelated to a legitimate social notification. The message is unsolicited advertising designed to lure clicks rather than a genuine social media update."
updates_898,Important: Address changed,We've updated our Cookie Policy. Review changes: company.com/updates Effective Nov 12.,Important: Address changed We've updated our Cookie Policy. Review changes: company.com/updates Effective Nov 12.,promotions,1,false,This email is not a promotion because it does not advertise or sell anything; it informs recipients about a policy change and its effective date. The correct classification is updates.
promotions_350,48-hour sale: Buy one get one free,Celebrate with 60% off entire purchase. Valid 12: example.com/1611 Code: WELCOME20.,48-hour sale: Buy one get one free Celebrate with 60% off entire purchase. Valid 12: example.com/1611 Code: WELCOME20.,forum,0,false,"This email is a marketing promotion because it advertises a limited-time sale, discount, and promo code to encourage a purchase. The correct classification is promotions, not forum."
forum_1819,[ANSWERED] Your query in Career Advice,Database upgrade completed successfully. New features: new search and notifications. FAQ: wiki.site/page/789.,[ANSWERED] Your query in Career Advice Database upgrade completed successfully. New features: new search and notifications. FAQ: wiki.site/page/789.,forum,0,true,"This email is a forum-style update tied to a specific discussion or query (“[ANSWERED] Your query in Career Advice”), indicating activity within a community thread. It shares informational follow-up content rather than a personal, transactional, or marketing message, so forum is the correct category."
social_media_1370,Watch later: Recommended post,photo from New York received 875 likes and 44 comments. See insights: social.com/insights/post123.,Watch later: Recommended post photo from New York received 875 likes and 44 comments. See insights: social.com/insights/post123.,social_media,2,true,This email is a social media notification because it reports engagement metrics like likes and comments on a post. The “See insights” link also indicates it relates to activity and performance on a social platform.
verify_code_1743,Authentication token: 417380,"For password reset, enter: 417380. Do not share this number.","Authentication token: 417380 For password reset, enter: 417380. Do not share this number.",forum,0,false,This email is not a forum message; it contains a one-time authentication code for a password reset. The correct classification is verify_code.
promotions_641,Limited stock: Limited edition,Final hours of biggest sale. Up to 50% off: example.com/9467 Ends {time}.,Limited stock: Limited edition Final hours of biggest sale. Up to 50% off: example.com/9467 Ends {time}.,promotions,1,true,"This email is a marketing message promoting a sale with urgency cues like “Final hours” and “Up to 50% off.” Its purpose is to advertise discounted products and drive purchases, which fits the promotions category."
promotions_470,Early access: Summer sale start now,Celebrate with 50% off entire purchase. Valid 24: example.com/8387 Code: SAVE50.,Early access: Summer sale start now Celebrate with 50% off entire purchase. Valid 24: example.com/8387 Code: SAVE50.,promotions,1,true,"This email is a promotional marketing message because it advertises a limited-time sale, highlights a discount offer, and includes a promo code to encourage a purchase. It is not transactional or personal; its main purpose is to drive sales."
promotions_524,Double rewards points all week,Deal ends {time}! {items} at lowest prices. Shop now: example.com/9227 Use code: SAVE50.,Double rewards points all week Deal ends {time}! {items} at lowest prices. Shop now: example.com/9227 Use code: SAVE50.,updates,4,false,"This email is promotional, not an update, because it advertises a limited-time sale, discount code, and shopping link intended to drive purchases. The correct classification is promotions."
forum_687,"New thread in ""Home Gardening"" matches alert",User: DataWiz posted helpful solution. View: support.site/ticket/456.,"New thread in ""Home Gardening"" matches alert User: DataWiz posted helpful solution. View: support.site/ticket/456.",verify_code,5,false,"This email is a forum notification about a new thread/post in “Home Gardening,” not a message containing a verification code. The correct classification is forum."
promotions_2213,New arrivals: Fall fashion live,"As our loyal customer, get exclusive $50 off $150+: example.com/9182 Offer code: BIRTHDAY.","New arrivals: Fall fashion live As our loyal customer, get exclusive $50 off $150+: example.com/9182 Offer code: BIRTHDAY.",updates,4,false,"This email is promotional because it advertises new fall fashion arrivals and includes a discount offer code to encourage a purchase. The correct classification is promotions, not updates."
spam_2090,Suspicious activity on PayPal account,Invoice INV-6789 for $5000 ready. View: scam-delivery.com Dispute within 48hrshrs.,Suspicious activity on PayPal account Invoice INV-6789 for $5000 ready. View: scam-delivery.com Dispute within 48hrshrs.,spam,3,true,"This email is spam because it uses a vague financial alert and urgent language to pressure the recipient into clicking a suspicious link. The message is poorly written, lacks legitimate sender details, and resembles a phishing attempt rather than a real payment notification."
forum_2142,Moderation notice: Community Guidelines update,User: PixelArtist posted helpful solution. View: support.site/ticket/456.,Moderation notice: Community Guidelines update User: PixelArtist posted helpful solution. View: support.site/ticket/456.,promotions,1,false,This is not a promotional email; it’s a community/forum moderation notification about a user post and a ticket update. The correct classification is forum.
