id,subject,body,proposed_category,expected_accepted,predicted_accepted,judge_decision,judge_reasoning,decision_correct
verify_code_515,New device approval: 383921,"Enter 229149 to confirm password reset. If you didn't request this, ignore.",verify_code,True,True,accept,"The email’s main purpose is to provide a one-time code to confirm a password reset, which fits verify_code.",True
updates_1664,"Appointment reminder: Haircut, Dec 20 1-3AM EST",Your September statement is available. View/download: banking.com/statements No action needed if payment scheduled.,verify_code,False,False,reject,"The email is an account/update notice about a statement being available, not a verification code message.",True
forum_1900,Mod application open for Book Club,Revised rules effective immediately. Key changes: citation requirements for news posts. Review: support.site/ticket/456.,forum,True,False,reject,"The email is mainly an informational rules/update notice, not activity related to a forum; a category like updates would fit better.",False
promotions_180,Elite Tier Upgrade: $100 Welcome Bonus,"New Platinum members receive instant credit: loyaltyprogram.com/upgrade-offer. Enjoy complimentary shipping, extended returns, and personal shopper service. Status match available.",promotions,True,True,accept,"This email is a marketing offer promoting a tier upgrade, welcome bonus, and membership perks, so promotions fits well.",True
updates_2096,Auto-payment failed for subscription,We've updated our Privacy Policy. Review changes: company.com/updates Effective Nov 12.,social_media,False,False,reject,"The email is mainly an account/policy update notice, not about social-network activity or platform interactions.",True
spam_976,Amazon investment opportunity 300% ROI,"Immediate action required! Your subscription payment failed. Update payment: scam-delivery.com Or call ""support"": 888-SCAM.",spam,True,True,accept,"The email shows classic scam/deceptive characteristics: unrealistic investment claim, urgent payment-failure message, suspicious link, and fake support number, so spam fits.",True
promotions_793,Early access: Clearance event start now,Celebrate with 50% off entire purchase. Valid 72: example.com/3311 Code: BIRTHDAY.,promotions,True,True,accept,"The email is clearly promotional, offering a discount code and urging a purchase during a clearance event.",True
promotions_2102,Last chance: Black Friday in July,Discover {items}. Shop new styles: example.com/3390 Code SAVE50 for extra 40% off.,spam,False,False,reject,"This is a legitimate promotional discount offer, so promotions fits better than spam.",True
verify_code_1969,Temporary PIN: 404583,Use this code: 907472 to complete sign-in. Expires in 10 minutes.,verify_code,True,True,accept,"The email’s main purpose is to provide a one-time sign-in code, which fits verify_code.",True
promotions_1519,New arrivals: Fall fashion live,Discover {items}. Shop new styles: example.com/6093 Code SAVE50 for extra 30% off.,spam,False,False,reject,"This is a legitimate promotional sale email about new arrivals and a discount code, so promotions fits better than spam.",True
verify_code_1624,Twitter Authenticator: 426706,PIN 748435 required for account verification on Microsoft.,verify_code,True,True,accept,"The email’s main purpose is to provide a PIN/code for account verification, so verify_code is a reasonable fit despite the brand mismatch.",True
spam_1239,You've been selected for cruise,See who messaged you on Amazon! View now: bit.ly/fakeprize Special offer: 80% off membership.,verify_code,False,False,reject,This is not a verification-code email; it looks like a deceptive promotional/phishing message about a prize and offer.,True
forum_551,Event reminder: Conference,Revised rules effective immediately. Key changes: citation requirements for news posts. Review: forum.com/thread/123.,verify_code,False,False,reject,"The email is an informational update/reminder about revised rules and a forum thread, not a verification code message.",True
updates_124,Address Update Required,Confirm for order #ORD-7729: account.com/address-confirm.,forum,False,False,reject,"The email is an address/order confirmation notice, not related to forum activity or discussions.",True
social_media_1272,New friend request from Mike Chen,"""You were at Grand Canyon with Alex"" - view album: platform.com/memories/beach.",social_media,True,True,accept,"The email is about a friend request and shared memories on a platform, which is genuine social-media activity.",True
updates_1989,Community announcement: Pool closure,biometric login activated per your request. Learn: banking.com/statements.,updates,True,True,accept,"The email is primarily an informational account/change notice, so a broad category like updates is a reasonable fit despite the subject/body mismatch.",True
spam_844,Refund confirmation #R-2873-UK,"Immediate action required! Your subscription payment failed. Update payment: bit.ly/fakeprize Or call ""support"": 555-0199.",spam,True,True,accept,"The email uses urgent, misleading payment language and a suspicious shortened link, which are strong indicators of spam/phishing.",True
social_media_470,New follower: Sarah Johnson,"""You were at Grand Canyon with Alex"" - view album: social.com/albums/vacation2018.",social_media,True,True,accept,The email is about social-platform activity—a new follower and shared album content—so social_media fits its main purpose.,True
promotions_638,Double rewards points this weekend,Celebrate with 60% off entire purchase. Valid 24: example.com/8833 Code: FLASH60.,spam,False,False,reject,"This is a legitimate promotional offer with a discount code, so promotions fits better than spam.",True
forum_1189,Warning: Violation in React Performance,"Thread: ""Discussion 386"" started by PixelArtist. Settings: wiki.site/page/789.",forum,True,True,accept,"The email is about a discussion thread started by a user, which fits a forum/activity notification.",True
social_media_1466,Watch later: Recommended video,"""You were at Grand Canyon with Alex"" - view album: platform.com/memories/beach.",social_media,True,True,accept,"The email highlights a memory/album involving another person, which is a social-platform interaction and fits social_media.",True
spam_93,LinkedIn Connection Request,"Recruiter wants to connect: ""Hiring for $200k remote jobs"". Respond: linkedin-fake.jobs/connect/rec883.",spam,True,True,accept,"The email appears deceptive and phishing-like, using a fake LinkedIn request and suspicious link, so spam is a reasonable fit.",True
social_media_999,Your post got 15 new reactions,View profile: platform.com/users/sarah Accept/reject: platform.com/requests.,promotions,False,False,reject,"This is a social/platform activity notification about reactions to a post, not a promotional or marketing email.",True
updates_747,Software update available (v5.0),We've updated our Privacy Policy. Review changes: banking.com/statements Effective Sep 1.,updates,True,True,accept,"The email mainly informs the user about a policy change/update, so updates is a reasonable fit.",True
spam_87,Crypto Investment Opportunity,Double your Bitcoin in 48hrs! Limited slots open: btc-double-now.crypto Risk-free guarantee.,spam,True,True,accept,"The email is clearly deceptive junk promoting a get-rich-quick crypto scheme with unrealistic promises, so spam is an appropriate category.",True
forum_392,Warning: Violation in Python Coding Challenge,"You earned ""Achievement 1"" badge. View profile: forum.com/thread/123.",forum,True,True,accept,"The email is a forum/community notification about badge/profile activity, so forum is a reasonable fit.",True
updates_1436,Safety recall: Model XZ-240,We've updated our Cookie Policy. Review changes: company.com/updates Effective Oct 5.,forum,False,False,reject,"The email is a policy/update notice about cookie policy changes, not forum-related activity or discussion.",True
verify_code_543,Twitter withdrawal auth: 725084,Security code: 467569. Enter on sign-in page. Expires in 20 minutes. Not you? Contact support: no-reply@auth.com.,spam,False,False,reject,"This is a security/verification code email for authentication, not clearly junk or deceptive spam.",True
forum_807,Event reminder: AMA with Industry Expert,"Thread ""Discussion 375"" moved from General to Support. Continue: forum.com/thread/123.",verify_code,False,False,reject,"The email is a forum/activity update about a thread move and event reminder, not a verification code message.",True
social_media_805,1st anniversary on LinkedIn!,"Group ""Book Club"" invited you. RSVP: platform.com/events/workshop.",updates,False,True,accept,"This is an informational notification about an invitation/event on LinkedIn, so a broad category like updates reasonably fits.",False
verify_code_2101,Email binding code: 417380,Use this code: 493549 to complete sign-in. Expires in 10 minutes.,spam,False,False,reject,"This is a legitimate verification/sign-in code email, not clearly junk, abusive, or deceptive spam.",True
promotions_664,"Refer friends, get $15 credit","Hello valued member, enjoy Free shipping all week. Shop now: example.com/2131 Expires {date}.",social_media,False,False,reject,"The email is a promotional offer about referral credit and free shipping, not social-media activity or platform interaction.",True
social_media_1485,Watch later: Recommended photo,"""You were at Grand Canyon with Alex"" - view album: social.com/albums/vacation2018.",social_media,True,True,accept,"This is about viewing a photo album and social content from a platform, which fits social_media.",True
promotions_1999,Member Exclusive: Buy one get one free,Celebrate with 70% off entire purchase. Valid 24: example.com/6581 Code: FLASH60.,spam,False,False,reject,"This is a legitimate promotional offer/discount email, not clearly junk, abusive, or deceptive spam.",True
verify_code_1652,Temporary PIN: 313699,Security code: 776979. Enter on sign-in page. Expires in 5 minutes. Not you? Contact support: support@service.com.,spam,False,False,reject,"This is a legitimate security verification/PIN email for sign-in, not clearly junk or deceptive spam.",True
forum_1178,Moderation notice: Community Guidelines update,"Trending: ""webdev"" (142 comments). View: forum.com/thread/123.",updates,False,True,accept,"The email is a notification about forum activity and a guidelines-related notice, so a broad informational category like updates is a reasonable fit.",False
forum_194,Archive Deletion Request Received,"Post anonymization scheduled per GDPR compliance: forum.com/data-requests/DL-5566. Process completion expected within 30 days. 1,200 posts affected. Opt-out window open for 7 days.",updates,False,True,accept,"This is an informational notice about a data-deletion/privacy request status, so updates is a reasonable fit.",False
social_media_1079,Watch later: Recommended photo,story from Tokyo received 678 likes and 67 comments. See insights: platform.com/analytics/content.,social_media,True,True,accept,"The email is about social platform activity and engagement metrics on content, which fits social_media.",True
verify_code_191,Media Embargo Release: 398012,Press release authorization code: 398012. Confirms scheduled publication at 9AM ET. Breaking embargo incurs maximum contractual penalty. Multimedia assets distributed upon entry.,verify_code,True,True,accept,"The email’s main purpose is to provide an authorization code tied to embargo release/publication, so verify_code is a reasonable fit.",True
spam_1340,Your Netflix was used on new device,"Immediate action required! Your subscription payment failed. Update payment: bit.ly/fakeprize Or call ""support"": 1-800-FAKE.",spam,True,True,accept,"The email uses urgent, deceptive account/payment claims and suspicious links/contact info, which strongly indicates spam/phishing.",True
social_media_1861,News: David Kim started new position,"Your group ""Photography Group"" is live streaming. Join: platform.com/streaming/event.",spam,False,False,reject,"This is a platform/group activity notification about a live stream, not clearly junk or deceptive spam.",True
spam_1930,IRS Tax Refund Approval #RP-3344,Invoice INV-6789 for $1000 ready. View: bit.ly/fakeprize Dispute within 24hrshrs.,spam,True,True,accept,"This looks like deceptive junk mail using a fake IRS refund/invoice lure and suspicious shortened link, which fits spam.",True
updates_116,Order Shipped: #ORD-7725,UPS tracking: 1Z999AA103456789. ETA Aug 28: store.com/track/ORD7725.,verify_code,False,False,reject,"This is a shipping/tracking update for an order, not a verification code email.",True
social_media_823,Watch later: Recommended story,"""College reunion photos"" - view album: platform.com/memories/beach.",social_media,True,True,accept,"The email shares a photo album/memory on a platform, which is a social-media style interaction and notification.",True
promotions_1625,FLASH SALE: 80% off tools,Deal ends {time}! {items} at lowest prices. Shop now: example.com/7302 Use code: FLASH60.,promotions,True,True,accept,"The email is a sales promotion advertising discounts, a limited-time deal, and a promo code.",True
verify_code_1516,Temporary security pass: 986632,"Use 884383 as your verification code. Device: Samsung Galaxy S22. Location: Seattle, WA.",verify_code,True,True,accept,"The email’s main purpose is to provide a one-time verification/security code for account access, so verify_code is a clear fit.",True
spam_1043,Google investment opportunity 300% ROI,"Dear Winner, Your email won $5000 in our annual lottery! Click here: bit.ly/fakeprize. Claim before 6hrs expire. Unsubscribe: remove@spam.com",forum,False,False,reject,"The email is a scam-like prize/investment message, not related to forum activity or discussions.",True
social_media_52,Neural Art Collective Exhibition: Apply,AI-generated art for Tokyo gallery. Submit: neuroart.space/galaxy Requires GAN model explanation.,updates,False,False,reject,"The email is primarily a submission invitation/promotion for an exhibition, not an informational update or notice.",True
updates_1167,Your order #2468 has delivered,Items cancelled via FedEx (tracking: 123456789012). Estimated delivery: Dec 20. Track: company.com/updates.,forum,False,False,reject,"The email is an order/shipping delivery update, not related to forum activity or discussions.",True
forum_360,New featured guide: gaming,"You earned ""Achievement 3"" badge. View profile: forum.com/thread/123.",forum,True,True,accept,"The email is a forum/community notification about a badge and profile/thread activity, so forum is a reasonable fit.",True
